news_updated_at,news_url,title
2020-02-07,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/3968834/index.html,支持疫情防控相关财税政策、缓解小微企业融资难融资贵发布会实录
2020-02-02,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/3966122/index.html,2月3日中国人民银行将开展1.2万亿元公开市场操作投放流动性
2020-02-01,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/3966054/index.html,中国人民银行 银保监会 证监会 外汇局关于做好春节假期后金融服务工作的通知
2020-02-01,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/3965924/index.html,人民银行副行长潘功胜就《关于进一步强化金融支持防控新型冠状病毒感染肺炎疫情的通知》接受媒体采访
2020-02-01,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/3965907/index.html,坚定信心 同舟共济 做好金融对疫情防控和实体经济的支持工作
2020-02-01,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/3965911/index.html,中国人民银行 财政部 银保监会 证监会 外汇局关于进一步强化金融支持防控新型冠状病毒感染肺炎疫情的通知
2020-01-28,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/3965578/index.html,中国人民银行、国家外汇管理局关于延长银行间市场休市时间安排的通知
2020-01-25,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/3965562/index.html,人民银行开设绿色通道 确保春节期间大额资金汇划更加快速办理
2020-01-23,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/3965555/index.html,人民银行召开电视会议部署春节期间金融服务等相关工作
2020-01-23,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/3964703/index.html,实施暖心工程 温暖基层职工——人民银行开展2020年元旦春节期间帮扶送温暖工作
2020-01-23,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/3965314/index.html,2019年金融机构贷款投向统计报告
2020-01-23,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/3965443/index.html,人民银行召开依法行政工作领导小组2020年度第一次会议
2020-01-20,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/3963352/index.html,人民银行举办离退休老同志2020年迎春团拜会
2020-01-20,http://www.pbc.gov.cn//goutongjiaoliu/113456/113469/3962934/index.html,中国人民银行于1月20日开展央行票据互换（CBS）操作
